word,pronunciation,difficulty,categories,definition,examples,usage_notes,collocations
a couple,/ə ˈkʌpəl/,beginner,"[""Everyday Conversation""]","Two people or things, or a small number of people or things (usually around two or three).","[""I'll be ready to leave in a couple of minutes."", ""A couple of my friends are coming over for dinner tonight.""]","In informal American English, 'of' is often dropped before nouns (e.g., 'a couple minutes'), but using 'a couple of' is standard and grammatically correct.","[""a couple of days"", ""a couple of times"", ""a couple of weeks"", ""a couple of hours""]"
a.m.,/ˌeɪ ˈɛm/,beginner,"[""Everyday Conversation"", ""Travel""]",A term used after a time to show that it is between midnight and noon.,"[""My morning alarm goes off every day at 6:30 a.m."", ""The train to Chicago departs at 9:00 a.m. sharp.""]","Usually written in lowercase with periods (a.m.), though uppercase (A.M.) is also common. Do not use 'in the morning' together with 'a.m.' as it is redundant.","[""at 8:00 a.m."", ""early a.m."", ""a.m. hours"", ""a.m. departure""]"
abandon,/əˈbændən/,intermediate,"[""Everyday Conversation""]","To leave someone or something behind completely, often with no intention of returning.","[""The villagers had to abandon their homes due to the approaching wildfire."", ""He decided to abandon the project after realizing it was too expensive.""]","Often used with 'to' when leaving a plan or idea (e.g., 'abandon a plan to do something'). When used with people, it implies leaving them in a difficult or vulnerable position.","[""abandon a ship"", ""abandon a plan"", ""abandon hope"", ""abandon a child""]"
abandoned,/əˈbændənd/,intermediate,"[""Everyday Conversation""]","To leave someone or something behind completely, often with no intention of returning.","[""The villagers had to abandon their homes due to the approaching wildfire."", ""He decided to abandon his old car after it broke down for the third time.""]","It is often followed by the preposition 'to' or 'for' in specific contexts, or a direct object when referring to places, people, or plans.","[""abandon a ship"", ""abandon a plan"", ""abandon hope"", ""abandon an attempt""]"
ability,/əˈbɪləti/,beginner,"[""Health"", ""Business"", ""Nature""]","The physical, mental, or financial power, skill, or means to do something.","[""She has a remarkable ability to solve complex mathematical problems quickly."", ""His ability to speak three languages fluently helped him get the job."", ""The new software will improve our ability to communicate with international clients.""]","Often followed by the pattern 'ability to + verb' (e.g., 'ability to swim'). Do not use 'ability of doing' something.","[""natural ability"", ""ability to pay"", ""demonstrate an ability"", ""best of my ability""]"
able,/ˈeɪ.bəl/,beginner,"[""Everyday Conversation""]","Having the power, skill, means, or opportunity to do something.","[""She was able to finish the project ahead of schedule."", ""Will you be able to come to the party tonight?""]","Most commonly used in the pattern 'be able to + verb'. It functions as a modal-like expression for ability, especially in tenses where 'can' cannot be used (e.g., future 'will be able to' or present perfect 'have been able to').","[""be able to"", ""fully able"", ""hardly able"", ""barely able""]"
about,/əˈbaʊt/,beginner,"[""Everyday Conversation""]","On the subject of, concerning, or approximately a certain number or amount.","[""We talked about our plans for the upcoming weekend."", ""The journey takes about two hours by train.""]","When used to mean 'approximately', it is commonly followed by numbers or time. It is also frequently paired with verbs like 'think', 'talk', and 'know'.","[""about to do"", ""how about"", ""what about"", ""think about""]"
above,/əˈbʌv/,beginner,"[""Everyday Conversation""]","In or to a higher position than something else, or more than a particular amount or level.","[""The birds were flying high above the trees."", ""Temperatures remained above average all week.""]","'Above' is commonly used as a preposition or an adverb. Avoid confusing it with 'over', which often implies movement across or direct contact, whereas 'above' usually means higher up without touching.","[""above average"", ""above all"", ""listed above"", ""from above""]"
abroad,/əˈbrɔːd/,beginner,"[""Everyday Conversation"", ""Travel"", ""Academic""]",In or to a foreign country or countries.,"[""She decided to study abroad to improve her Spanish."", ""Many people like to travel abroad during the summer holidays.""]","'Abroad' is an adverb, so you do not use 'to' before it (e.g., say 'go abroad', not 'go to abroad').","[""go abroad"", ""study abroad"", ""travel abroad"", ""live abroad""]"
absence,/ˈæbsəns/,intermediate,"[""Everyday Conversation""]",The state of being away from a place or not being present where you are expected to be.,"[""Her frequent absence from school started to affect her grades."", ""In the absence of a clear plan, the team decided to wait for further instructions.""]","Often used in the phrase 'in the absence of something' or followed by the preposition 'from' (e.g., 'absence from work').","[""absence of mind"", ""prolonged absence"", ""leave of absence"", ""in the absence of""]"
