word,pronunciation,difficulty,categories,definition,examples,usage_notes,collocations
a couple,/ə ˈkʌpəl/,beginner,"[""Everyday Conversation""]","Two people or things, or a small number of people or things (usually around two or three).","[""I'll be ready to leave in a couple of minutes."", ""A couple of my friends are coming over for dinner tonight.""]","In informal American English, 'of' is often dropped before nouns (e.g., 'a couple minutes'), but using 'a couple of' is standard and grammatically correct.","[""a couple of days"", ""a couple of times"", ""a couple of weeks"", ""a couple of hours"", ""a happy couple""]"
a.m.,/ˌeɪ ˈɛm/,beginner,"[""Everyday Conversation"", ""Travel""]",A term used after a time to show that it is between midnight and noon.,"[""My morning alarm goes off every day at 6:30 a.m."", ""The train to Chicago departs at 9:00 a.m. sharp.""]","Usually written in lowercase with periods (a.m.), though uppercase (A.M.) is also common. Do not use 'in the morning' together with 'a.m.' as it is redundant.","[""at 8:00 a.m."", ""early a.m."", ""a.m. hours"", ""a.m. departure""]"
abandon,/əˈbændən/,intermediate,"[""News & Media"", ""Everyday Conversation"", ""Academic""]","To leave someone or something behind completely, often with no intention of returning.","[""The villagers had to abandon their homes due to the approaching wildfire."", ""He decided to abandon the project after realizing it was too expensive.""]","Often used with 'to' when leaving a plan or idea (e.g., 'abandon a plan to do something'). When used with people, it implies leaving them in a difficult or vulnerable position.","[""abandon a ship"", ""abandon a plan"", ""abandon hope"", ""abandon a child"", ""hasty abandonment""]"
abandoned,/əˈbændən/,intermediate,"[""News & Media"", ""Everyday Conversation""]","To leave someone or something behind completely, often with no intention of returning.","[""The villagers had to abandon their homes due to the approaching wildfire."", ""He decided to abandon his old car after it broke down for the third time.""]","It is often followed by the preposition 'to' or 'for' in specific contexts, or a direct object when referring to places, people, or plans.","[""abandon a ship"", ""abandon a plan"", ""abandon hope"", ""abandon an attempt""]"
ability,/əˈbɪləti/,beginner,"[""Academic"", ""Everyday Conversation"", ""Work""]","The physical, mental, or financial power, skill, or means to do something.","[""She has a remarkable ability to solve complex mathematical problems quickly."", ""His ability to speak three languages fluently helped him get the job."", ""The new software will improve our ability to communicate with international clients.""]","Often followed by the pattern 'ability to + verb' (e.g., 'ability to swim'). Do not use 'ability of doing' something.","[""natural ability"", ""ability to pay"", ""demonstrate an ability"", ""best of my ability"", ""physical ability""]"
able,/ˈeɪ.bəl/,beginner,"[""Everyday Conversation"", ""Work""]","Having the power, skill, means, or opportunity to do something.","[""She was able to finish the project ahead of schedule."", ""Will you be able to come to the party tonight?""]","Most commonly used in the pattern 'be able to + verb'. It functions as a modal-like expression for ability, especially in tenses where 'can' cannot be used (e.g., future 'will be able to' or present perfect 'have been able to').","[""be able to"", ""fully able"", ""hardly able"", ""barely able""]"
about,/əˈbaʊt/,beginner,"[""Everyday Conversation""]","On the subject of, concerning, or approximately a certain number or amount.","[""We talked about our plans for the upcoming weekend."", ""The journey takes about two hours by train.""]","When used to mean 'approximately', it is commonly followed by numbers or time. It is also frequently paired with verbs like 'think', 'talk', and 'know'.","[""about to do"", ""how about"", ""what about"", ""think about"", ""care about"", ""just about""]"
above,/əˈbʌv/,beginner,"[""Everyday Conversation"", ""Academic""]","In or to a higher position than something else, or more than a particular amount or level.","[""The birds were flying high above the trees."", ""Temperatures remained above average all week.""]","'Above' is commonly used as a preposition or an adverb. Avoid confusing it with 'over', which often implies movement across or direct contact, whereas 'above' usually means higher up without touching.","[""above average"", ""above all"", ""listed above"", ""from above"", ""above the law""]"
abroad,/əˈbrɔːd/,beginner,"[""Everyday Conversation"", ""Travel""]",In or to a foreign country or countries.,"[""She decided to study abroad to improve her Spanish."", ""Many people like to travel abroad during the summer holidays.""]","'Abroad' is an adverb, so you do not use 'to' before it (e.g., say 'go abroad', not 'go to abroad').","[""go abroad"", ""study abroad"", ""travel abroad"", ""live abroad"", ""from abroad""]"
absence,/ˈæbsəns/,intermediate,"[""Everyday Conversation"", ""Academic"", ""Work""]",The state of being away from a place or not being present where you are expected to be.,"[""Her frequent absence from school started to affect her grades."", ""In the absence of a clear plan, the team decided to wait for further instructions.""]","Often used in the phrase 'in the absence of something' or followed by the preposition 'from' (e.g., 'absence from work').","[""absence of mind"", ""prolonged absence"", ""leave of absence"", ""in the absence of"", ""excused absence""]"
absent,/ˈæbsənt/,beginner,"[""Everyday Conversation"", ""Academic"", ""Work""]","Not present in a place, such as school, work, or a meeting.","[""Several students were absent from class today because of the flu."", ""He has been absent from work for three consecutive days.""]","When used as an adjective, it is usually followed by the preposition 'from' (e.g., absent from school). The stress is on the first syllable for the adjective (/ˈæbsənt/), but on the second syllable when used as a reflexive verb (/æbˈsɛnt/).","[""absent from work"", ""absent from school"", ""conspicuously absent"", ""mark someone absent""]"
absolute,/ˈæbsəluːt/,intermediate,"[""Everyday Conversation"", ""Academic"", ""News & Media""]","Complete, perfect, or total; not limited or restricted in any way.","[""You must tell the truth with absolute honesty."", ""The ruling monarch had absolute power over the kingdom.""]","Often used for emphasis before a noun (e.g., 'absolute beginner', 'absolute silence'). Avoid using comparative modifiers like 'more' or 'most' with 'absolute', as its meaning is already complete.","[""absolute beginner"", ""absolute truth"", ""absolute power"", ""absolute certainty"", ""absolute minimum""]"
absolutely,/ˌæbsəˈlutli/,beginner,"[""Everyday Conversation""]",Used to express complete agreement or to emphasize that something is completely true.,"[""Do you agree with the new policy? Absolutely!"", ""I am absolutely certain that I locked the front door.""]","Often used as a strong one-word answer meaning 'yes'. When modifying adjectives, it is used with non-gradable (extreme) adjectives (e.g., 'absolutely terrifying', not 'absolutely scary').","[""absolutely necessary"", ""absolutely certain"", ""absolutely essential"", ""absolutely stunning"", ""absolutely right""]"
absorb,/əbˈzɔːrb/,intermediate,"[""Everyday Conversation"", ""Nature"", ""Academic"", ""Work""]","To take in liquid, gas, light, or heat gradually; or to fully understand and remember new information.","[""Plants absorb water and nutrients from the soil through their roots."", ""It takes time to absorb all the information during the first week of a new job.""]","Often used in the passive voice when describing someone who is highly focused on something, using the pattern 'be absorbed in' (e.g., 'She was completely absorbed in her book').","[""absorb water"", ""absorb information"", ""absorb knowledge"", ""be fully absorbed in"", ""absorb the cost""]"
abuse,/əˈbjuːs/,intermediate,"[""Everyday Conversation"", ""Academic"", ""Health"", ""News & Media""]","The cruel, violent, or unfair treatment of someone, or the incorrect or improper use of something (such as a substance or power).","[""The organization works to prevent the abuse of power by government officials."", ""He was hospitalized due to a long history of substance abuse.""]",The word can be used as a noun (pronounced /əˈbjuːs/) or as a verb (pronounced /əˈbjuːz/). Common grammar patterns include 'abuse of power/authority' and 'substance abuse'.,"[""substance abuse"", ""abuse of power"", ""verbal abuse"", ""physical abuse"", ""child abuse""]"
academic,/ˌækəˈdemɪk/,intermediate,"[""Everyday Conversation"", ""Work"", ""Academic""]","Relating to education, schools, colleges, or scholarship rather than practical or technical skills.","[""She has a strong academic background and excels in research."", ""The university offers a wide range of academic programs.""]","Can be used as an adjective (e.g., 'academic performance') or a noun referring to a teacher or researcher at a college or university.","[""academic year"", ""academic achievement"", ""academic research"", ""academic community"", ""academic performance""]"
accent,/ˈæksent/,beginner,"[""Everyday Conversation"", ""Arts & Culture"", ""Travel""]","A distinctive way of pronouncing a language, especially one associated with a particular country, area, or social class.","[""She speaks English with a strong French accent."", ""He grew up in Boston, but he has lost most of his regional accent.""]","Do not confuse 'accent' with 'dialect'. An accent refers only to pronunciation, while a dialect includes different vocabulary and grammar rules.","[""strong accent"", ""foreign accent"", ""regional accent"", ""speak with an accent"", ""lose one's accent""]"
accept,/əkˈsɛpt/,beginner,"[""Everyday Conversation"", ""Work"", ""Business""]","To agree to take something that is offered, or to believe that something is true or correct.","[""She decided to accept the job offer from the new company."", ""It took him a long time to accept that he had made a mistake.""]","Often confused with 'except'. Remember that 'accept' is a verb meaning 'to receive', while 'except' usually means 'excluding'. Common grammar pattern: 'accept an offer' or 'accept that [clause]'.","[""accept an offer"", ""accept a challenge"", ""accept responsibility"", ""accept an apology"", ""widely accepted""]"
acceptable,/ækˈsɛptəbəl/,beginner,"[""Everyday Conversation"", ""Work"", ""Business""]",Satisfactory or good enough for a particular purpose or standard.,"[""The quality of your work is fully acceptable for this project."", ""We need to find a solution that is acceptable to both sides.""]",Often followed by the preposition 'to' (acceptable to someone) or 'for' (acceptable for a purpose).,"[""socially acceptable"", ""acceptable level"", ""perfectly acceptable"", ""acceptable risk"", ""acceptable behavior""]"
access,/ˈæksɛs/,intermediate,"[""Everyday Conversation"", ""Technology"", ""Work"", ""Academic""]","The right, opportunity, or ability to use, enter, or contact something.","[""You need a password to gain access to the database."", ""The building has wheelchair access at the rear entrance.""]","As a noun, 'access' is uncountable and is almost always followed by the preposition 'to' (e.g., 'access to the internet'). As a verb, it is transitive and does not use 'to' (e.g., 'I cannot access the file').","[""gain access"", ""have access to"", ""internet access"", ""restricted access"", ""easy access""]"
accident,/ˈæk.sə.dənt/,beginner,"[""Everyday Conversation"", ""Health"", ""News & Media""]","An unexpected event that typically results in damage, injury, or harm, or anything that happens by chance without being planned.","[""He was injured in a car accident on his way to work."", ""I met my old friend by accident at the supermarket.""]","Use the preposition 'in' for events (e.g., 'in an accident') and 'by' for unintentional actions (e.g., 'by accident').","[""car accident"", ""by accident"", ""traffic accident"", ""tragic accident"", ""prevent an accident""]"
accidental,/ˌæk.səˈden.t̬əl/,intermediate,"[""Everyday Conversation"", ""Academic""]","Happening by chance or unexpectedly, rather than on purpose.","[""I made an accidental mistake on the form and had to fill it out again."", ""The discovery of penicillin was completely accidental.""]",Mainly used as an adjective before a noun or after a linking verb like 'was' or 'seems'. The adverb form is 'accidentally'.,"[""accidental death"", ""accidental discharge"", ""purely accidental"", ""accidental damage""]"
accidentally,/ˌæk.səˈden.t̬əl.i/,beginner,"[""Everyday Conversation""]","By chance or by mistake, without intending to do so.","[""I accidentally deleted the important email from my inbox."", ""She accidentally bumped into an old friend at the supermarket.""]",A common spelling mistake is writing 'accidently' without the 'al'. It is often used to apologize for or explain unintended actions.,"[""accidentally spill"", ""accidentally delete"", ""accidentally discover"", ""accidentally hurt""]"
accommodation,/əˌkɑːməˈdeɪʃn/,intermediate,"[""Everyday Conversation"", ""Travel""]","A place to live, stay, or work in, such as a hotel room, apartment, or house.","[""The tour price includes hotel accommodation and all meals."", ""It can be difficult to find affordable accommodation in major cities.""]","In British English, 'accommodation' is uncountable when referring to places to stay (e.g., 'some accommodation'). In American English, it can be countable ('accommodations'). A common spelling mistake is forgetting the double 'c' or double 'm'.","[""book accommodation"", ""overnight accommodation"", ""temporary accommodation"", ""find accommodation""]"
accompany,/əˈkʌm.pə.ni/,intermediate,"[""Everyday Conversation"", ""Arts & Culture"", ""Travel""]","To go somewhere with someone as a companion, or to exist or occur together with something else.","[""The singer was accompanied on the piano by her sister."", ""Children under the age of twelve must be accompanied by an adult.""]","Often used in the passive voice ('be accompanied by'). In music, it means to play an instrument while someone else sings or plays the main melody.","[""be accompanied by"", ""accompany a friend"", ""accompany a song"", ""accompany on the piano""]"
according to,/əˈkɔːrdɪŋ tuː/,beginner,"[""Everyday Conversation"", ""Academic"", ""News & Media""]","As stated by or reported by someone or something; or in a way that agrees with a system, rule, or plan.","[""According to the weather forecast, it will rain tomorrow afternoon."", ""The students were arranged in groups according to their reading levels.""]","Always follow this phrase with a noun, pronoun, or noun phrase, never a full clause with a subject and verb. Avoid saying 'according to me' when expressing your own opinion; use 'in my opinion' or 'I think' instead.","[""according to the report"", ""according to experts"", ""according to the law"", ""according to plan"", ""according to sources""]"
account,/əˈkaʊnt/,beginner,"[""Everyday Conversation"", ""Technology"", ""Business""]","A record of money kept in a bank, or a personal profile used to access a service or website. It can also mean a spoken or written description of an event.","[""I opened a new savings account at the local bank yesterday."", ""She gave a detailed account of what happened during the meeting.""]","Commonly used with prepositions: 'open an account', 'account for' (explain/cause), or 'on account of' (because of).","[""bank account"", ""user account"", ""create an account"", ""detailed account"", ""account for""]"
account for,/əˈkaʊnt fɔːr/,intermediate,"[""Everyday Conversation"", ""Work"", ""Academic"", ""Business""]","To explain the reason for something, or to form a particular amount or part of a total.","[""How do you account for the sudden change in the weather?"", ""Online sales account for over forty percent of the company's total revenue.""]",This phrasal verb is often followed by a noun or a gerund. It is widely used in both academic contexts (to explain something) and business contexts (to represent a percentage or portion).,"[""account for a large portion"", ""account for the difference"", ""account for the delay"", ""account for a majority""]"
accurate,/ˈæk.jɚ.ət/,intermediate,"[""Everyday Conversation"", ""Work"", ""Academic""]","Correct, exact, and free from errors.","[""The weather forecast was surprisingly accurate this week."", ""Please make sure all the information in your report is accurate before sending it.""]","Often used with 'information', 'description', or 'data'. The opposite is 'inaccurate'. Do not confuse it with 'precise', which means detailed, though they are often synonyms.","[""accurate information"", ""accurate description"", ""accurate measurement"", ""highly accurate""]"
accurately,/ˈækjərətli/,intermediate,"[""Everyday Conversation"", ""Work"", ""Academic""]","In a way that is correct, exact, and without any mistakes.","[""The report accurately describes the current financial situation."", ""She was able to accurately predict the outcome of the experiment.""]","It is an adverb that modifies verbs or adjectives. Common patterns include 'accurately describe', 'accurately predict', or 'accurately reflect'.","[""accurately reflect"", ""accurately describe"", ""accurately predict"", ""accurately measure"", ""accurately portray""]"
accuse,/əˈkjuːz/,intermediate,"[""Academic"", ""Everyday Conversation"", ""News & Media""]","To say that someone has done something morally wrong, illegal, or unkind.","[""He was accused of stealing the company's confidential data."", ""Are you accusing me of lying?""]",Often used in the passive voice. The standard preposition pattern is 'accuse someone of [noun/doing something]'. Do not use 'accuse someone for'.,"[""accuse someone of a crime"", ""falsely accuse"", ""stand accused of"", ""accuse someone directly""]"
achieve,/əˈtʃiːv/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","To successfully bring about or reach a desired objective, level, or result by effort, skill, or courage.","[""She worked hard for many years to achieve her dream of becoming a doctor."", ""The team played exceptionally well to achieve a victory in the final minutes of the game.""]","Commonly used with abstract nouns like 'goals', 'success', or 'results'. Avoid using it for simple physical actions (e.g., write 'I reached the station', not 'I achieved the station').","[""achieve a goal"", ""achieve success"", ""achieve a target"", ""achieve results"", ""difficult to achieve""]"
achievement,/əˈtʃiːvmənt/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","something very good and difficult that you have succeeded in doing, especially through hard work, skill, or effort.","[""Winning the championship was a remarkable achievement for the young team."", ""Learning to speak a new language fluently is a major achievement.""]","It is a countable noun when referring to specific successes, but can be uncountable when referring to the general state of succeeding (e.g., 'a sense of achievement').","[""sense of achievement"", ""major achievement"", ""academic achievement"", ""outstanding achievement"", ""crowning achievement""]"
acid,/ˈæsɪd/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Nature"", ""Health""]","A chemical substance, usually a liquid, that contains hydrogen and can react with other substances to form salts; it often has a sour taste and can burn skin or damage materials.","[""Lemon juice contains citric acid, which gives it a sour taste."", ""Be careful when handling the battery, as it contains a strong acid that can burn your skin.""]","In everyday English, 'acid' can refer to the chemical substance or be used as an adjective meaning 'sour' or 'sharp' (e.g., 'an acid remark'). In slang, it can also refer to the hallucinogenic drug LSD.","[""acid rain"", ""amino acid"", ""stomach acid"", ""acid test"", ""citric acid""]"
acknowledge,/ækˈnɑːl.ɪdʒ/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","To accept, admit, or recognize the truth, existence, or reality of something, or to confirm that you have received something.","[""She refused to acknowledge that she had made a mistake."", ""Please acknowledge receipt of this email by replying to it.""]","Often followed by a gerund (verb-ing) or a 'that' clause. In professional contexts, it is frequently used to confirm the receipt of messages or documents.","[""acknowledge receipt"", ""acknowledge a mistake"", ""acknowledge the fact that"", ""publicly acknowledge"", ""fail to acknowledge""]"
acquire,/əˈkwaɪər/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","To obtain or buy something for yourself, or to learn and develop a new skill, habit, or quality.","[""She managed to acquire a rare copy of the book at an auction."", ""It takes years to acquire a deep understanding of a foreign language.""]","Often used in formal, academic, or business contexts instead of 'get' or 'buy'. It is commonly used with abstract nouns like 'knowledge', 'skills', or 'habits'.","[""acquire a skill"", ""acquire knowledge"", ""acquire a habit"", ""acquire assets"", ""acquire a taste for""]"
across,/əˈkrɔːs/,beginner,"[""Everyday Conversation"", ""Travel""]","From one side of something to the other side, or on the opposite side of something.","[""She walked across the street to meet her friend."", ""There is a lovely bakery just across the river.""]","Commonly used as a preposition (e.g., 'across the bridge') or an adverb (e.g., 'run across'). Avoid confusing it with the verb 'cross'; we say 'walk across the road' but 'cross the road'.","[""across the street"", ""across the country"", ""across the world"", ""run across"", ""come across""]"
act,/ækt/,beginner,"[""Everyday Conversation"", ""Arts & Culture""]","To do something, take action, or behave in a particular way; it can also mean to perform a role in a play, movie, or show.","[""We need to act quickly to solve this problem before it gets worse."", ""She has wanted to act in movies since she was a child.""]","Often followed by 'on' (to act on advice) or 'like/as' (to act like a professional). As a noun, it refers to a single thing that is done.","[""act quickly"", ""act of kindness"", ""act as a guide"", ""put on an act"", ""act responsibly""]"
action,/ˈækʃən/,beginner,"[""Academic"", ""Everyday Conversation"", ""Work""]","The process of doing something, typically to achieve an aim, deal with a problem, or make something happen.","[""The government needs to take immediate action to help the homeless."", ""I prefer action movies because they are exciting and fast-paced.""]","Commonly used in the phrase 'take action'. It is usually an uncountable noun when referring to doing things in general, but can be countable when referring to specific deeds or legal proceedings.","[""take action"", ""course of action"", ""action plan"", ""direct action"", ""legal action""]"
active,/ˈæktɪv/,beginner,"[""Sports"", ""Everyday Conversation"", ""Health""]",Busy doing physical or mental activities; energetic and lively.,"[""She plays tennis and goes running, so she is very active."", ""The volcano is still active and could erupt at any time.""]",Often used to describe a lifestyle ('an active lifestyle') or participation ('take an active role'). It is the opposite of 'passive' or 'inactive'.,"[""active lifestyle"", ""active participant"", ""active role"", ""physically active"", ""remain active""]"
actively,/ˈæktɪvli/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","In a way that involves taking action, making an effort, or participating directly, rather than waiting for things to happen.","[""She is actively looking for a new job in the tech industry."", ""The school actively encourages students to participate in extracurricular activities.""]","This adverb is often used before verbs to show that someone is putting conscious effort into an action, rather than just letting it happen passively.","[""actively seek"", ""actively participate"", ""actively involve"", ""actively avoid"", ""actively engage""]"
activity,/ækˈtɪv.ə.t̬i/,beginner,"[""Sports"", ""Everyday Conversation"", ""Health""]","Something that you do for enjoyment, work, or to achieve a particular goal, or the state of being active and moving.","[""The outdoor center offers a wide range of activities, including kayaking and climbing."", ""There was a lot of activity in the office as everyone prepared for the big meeting.""]","The word can be countable (e.g., 'leisure activities') or uncountable when referring to general movement or busy behavior (e.g., 'there was sudden activity').","[""outdoor activity"", ""leisure activity"", ""physical activity"", ""economic activity"", ""flurry of activity""]"
actor,/ˈæktər/,beginner,"[""Everyday Conversation"", ""Arts & Culture""]","A person whose profession is acting on the stage, in movies, or on television.","[""He is a talented actor who has starred in several award-winning movies."", ""She decided to become an actor after performing in her high school play.""]","While 'actress' was traditionally used for women, 'actor' is now commonly used as a gender-neutral term for both men and women.","[""lead actor"", ""supporting actor"", ""famous actor"", ""voice actor"", ""character actor""]"
actress,/ˈæktrəs/,beginner,"[""Everyday Conversation"", ""Arts & Culture""]","A female actor; a woman who plays a character in a movie, play, or television show.","[""She won an award for being the best actress in a leading role."", ""The young actress rehearsed her lines diligently before the audition.""]","While 'actress' specifically refers to a woman, the gender-neutral term 'actor' is increasingly used for both men and women in modern English.","[""famous actress"", ""lead actress"", ""award-winning actress"", ""aspiring actress""]"
actual,/ˈæktʃuəl/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","Existing in fact or reality; real rather than imagined, planned, or guessed.","[""The actual cost of the repair was much higher than the original estimate."", ""I know she looks young, but what is her actual age?""]","A common mistake is using 'actual' to mean 'current' or 'present' due to false friends in other languages (like 'actuel' in French or 'actual' in Spanish). In English, 'actual' only means 'real' or 'factual'.","[""actual size"", ""actual cost"", ""actual fact"", ""actual practice"", ""actual experience""]"
actually,/ˈæktʃuəli/,beginner,"[""Everyday Conversation""]","Used to refer to what is real or true, or to emphasize a fact, especially when it is surprising or different from what people might expect.","[""I thought the test would be difficult, but it was actually quite easy."", ""Did you actually see the movie, or did you just read the review?""]","Often used to politely correct someone, to introduce a surprising fact, or to show contrast. In spoken English, it is sometimes used as a filler word.","[""actually happen"", ""not actually"", ""actually quite"", ""actually believe""]"
ad,/æd/,beginner,"[""Everyday Conversation"", ""News & Media"", ""Business""]","A short form of the word 'advertisement', which is a picture, short film, or piece of text that tries to persuade people to buy a product or service.","[""I saw an interesting ad for a new smartphone on TV last night."", ""Many websites display annoying pop-up ads that block the content.""]","'Ad' is an informal abbreviation of 'advertisement' (or 'advert' in British English). It is highly common in everyday speech and casual writing, but 'advertisement' is preferred in formal business reports or academic writing.","[""run an ad"", ""classified ad"", ""online ad"", ""TV ad"", ""ad campaign""]"
adapt,/əˈdæpt/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","To change your behavior or ideas in order to deal with a new situation, or to change something so that it is suitable for a new use.","[""It took the children a few months to adapt to their new school."", ""The company had to adapt its marketing strategy to appeal to younger customers.""]","Commonly used with the preposition 'to' (e.g., 'adapt to a new environment'). Do not confuse with 'adopt' (to take up or start using something) or 'adept' (highly skilled).","[""adapt to change"", ""quickly adapt"", ""adapt to a new environment"", ""adapt a recipe"", ""highly adaptable""]"
add,/æd/,beginner,"[""Academic"", ""Everyday Conversation"", ""Food & Dining""]","To put something together with something else so as to increase the size, number, or amount.","[""If you add four and five, you get nine."", ""Please add some salt to the soup to give it more flavor.""]","Commonly followed by the preposition 'to' (e.g., 'add something to the mixture'). In mathematics, it is the opposite of 'subtract'.","[""add value"", ""add fuel to the fire"", ""add up the numbers"", ""add to the list""]"
add up,/ˌæd ˈʌp/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","To seem reasonable, logical, or consistent; or to increase gradually to a significant amount.","[""His story about where he was last night just doesn't add up."", ""All of these small expenses add up to a lot of money over time.""]","This is a phrasal verb. When it means 'to make sense', it is usually used in negative sentences (e.g., 'it doesn't add up'). When it means 'to accumulate', it is often followed by the preposition 'to'.","[""doesn't add up"", ""add up to a total"", ""small things add up"", ""add up the numbers""]"
add up to,/æd ʌp tuː/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","To result in a particular total amount, or to lead to a particular result or explanation.","[""All these small expenses add up to a lot of money over time."", ""His stories don't quite add up to a believable explanation.""]","This is a phrasal verb. When used to mean 'result in a total', it is followed by a noun (usually a number or amount). It is inseparable, meaning you cannot put the object between 'add up' and 'to'.","[""add up to a total of"", ""add up to nothing"", ""add up to a significant amount"", ""add up to a big difference""]"
addition,/əˈdɪʃn/,beginner,"[""Academic"", ""Everyday Conversation"", ""Business""]","The act of adding something to something else, or a person or thing that is added.","[""The new baby is a wonderful addition to their family."", ""In addition to his salary, he receives a monthly bonus.""]","Often used in the transitional phrase 'in addition (to)', which is used to introduce extra information in writing and formal speech.","[""in addition to"", ""a welcome addition"", ""latest addition"", ""make an addition""]"
additional,/əˈdɪʃ.ən.əl/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work"", ""Business""]",Extra or added to what already exists.,"[""The hotel charges an additional fee for using the spa."", ""If you need additional information, please do not hesitate to ask.""]","Often used in formal, business, or academic contexts instead of the simpler word 'more'. It usually comes before a noun.","[""additional information"", ""additional cost"", ""additional charge"", ""additional support"", ""additional time""]"
address,/əˈdrɛs/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","To direct one's attention or efforts toward solving a problem; or, the details of where a place is located.","[""We need to address the issue of climate change immediately."", ""Please write your home address on the shipping form.""]","As a verb, it is often used in formal or professional contexts (e.g., 'address a problem'). Note that the noun can be pronounced with stress on the first syllable (/ˈædrɛs/) or the second syllable (/əˈdrɛs/).","[""address an issue"", ""address a problem"", ""change of address"", ""mailing address"", ""public address""]"
adequate,/ˈæd.ə.kwət/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","Good enough or sufficient for a specific need or requirement, though not necessarily outstanding.","[""The old heater is adequate for a small room, but it cannot warm the entire house."", ""She proved that her skills were more than adequate for the job.""]","Often used to describe something that meets a minimum standard. It can sometimes carry a slightly negative or neutral tone, implying something is 'just okay' but not excellent.","[""adequate funding"", ""adequate preparation"", ""adequate resources"", ""more than adequate"", ""prove adequate""]"
adequately,/ˈæd.ə.kwət.li/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work"", ""Business""]",In a way that is enough or satisfactory for a particular need or purpose.,"[""The school was not adequately prepared for the sudden increase in student enrollment."", ""Make sure you are adequately hydrated before starting the long run.""]","It is the adverb form of 'adequate'. It is often used before past participles (e.g., adequately funded, adequately prepared) and carries a neutral, slightly formal tone.","[""adequately prepared"", ""adequately funded"", ""adequately addressed"", ""explain adequately"", ""adequately protected""]"
adjust,/əˈdʒʌst/,intermediate,"[""Everyday Conversation"", ""Work"", ""Technology""]","To change something slightly to make it fit, work better, or be more suitable; or to become accustomed to a new situation.","[""You can adjust the height of the chair by pulling this lever."", ""It took her a few months to adjust to living in a new city.""]","Often followed by the preposition 'to' when meaning 'to get used to' (e.g., 'adjust to the climate'). When meaning 'to alter slightly', it is a transitive verb that takes a direct object.","[""adjust to"", ""make adjustments"", ""adjust the volume"", ""adjust the settings"", ""readjust""]"
admiration,/ˌædməˈreɪʃn/,intermediate,"[""Everyday Conversation"", ""Arts & Culture""]","A feeling of deep respect, approval, and warm approval for someone or something.","[""I have a lot of admiration for her courage and determination."", ""The teacher looked at the student's artwork with genuine admiration.""]",Often used with the prepositions 'for' (admiration for someone) or 'in' (to look in admiration). It is a noun; the verb form is 'admire'.,"[""deep admiration"", ""express admiration"", ""win the admiration of"", ""mutual admiration"", ""filled with admiration""]"
admire,/ədˈmaɪər/,intermediate,"[""Everyday Conversation"", ""Arts & Culture""]","To respect and warm-heartedly approve of someone or something, or to look at something with pleasure and appreciation.","[""I really admire my teacher for her patience and dedication."", ""We stopped for a moment to admire the beautiful sunset over the mountains.""]","Often used in the pattern 'admire someone for something'. It is a stative verb when expressing respect, meaning it is rarely used in the continuous (-ing) form in that context.","[""deeply admire"", ""admire from afar"", ""admire someone's courage"", ""greatly admire""]"
admit,/ədˈmɪt/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Work""]","To agree or confess that something is true, especially when you are reluctant to do so; or to allow someone to enter a place.","[""He was brave enough to admit his mistake in front of the whole team."", ""The museum ticket allows you to admit one person.""]","Often followed by a gerund (verb + -ing) or a 'that' clause, for example: 'She admitted making a mistake' or 'She admitted that she was wrong'. Avoid using an infinitive (not 'admitted to make').","[""admit defeat"", ""admit a mistake"", ""grudgingly admit"", ""admit to a hospital"", ""refuse to admit""]"
adopt,/əˈdɑːpt/,intermediate,"[""Academic"", ""Everyday Conversation"", ""Business""]","To legally take another person's child into your own family and bring them up as your own; or to start using a new method, plan, or attitude.","[""They decided to adopt a child after trying to conceive for several years."", ""The company plans to adopt a new policy regarding remote work next month.""]","Do not confuse 'adopt' with 'adapt' (which means to change or adjust to new conditions). 'Adopt' is a transitive verb, so it always requires a direct object.","[""adopt a child"", ""adopt a policy"", ""adopt an approach"", ""adopt a pet"", ""adopt a lifestyle""]"
